id;placa;ano;marca;carga
1;Salada Turismo;eyeballs bus Avon;Kong distributed;63131
2;Savings Krone;open-source;Concreto Jogos grid-enabled;5913
3;Aço Amazonas;Program;preto;12202
4;Surinam;Universal Lúcia Function-based;transmitter Rua IB;77036
5;Intranet Teclado;up Eletrônicos Algodão;Borders;15541
6;exuding;Queijo synthesize Cadeira;hacking Fantástico payment;78294
7;regional;Saúde;Algodão;76431
8;Alameda;frictionless;Account;66194
9;Sem Sabonete;Rústico model compressing;deposit;60915
10;bandwidth Engineer;client-driven;Frango Hryvnia Salgadinhos;30107
